,snapshot_year,renewable_lower,demand_scenario,reduction,nuclear_option,ll_wildcard,h2_demand,onwind,energy_selfconsumption,uuid,discount_rate
2050_greenfield/national_103.0red_centralized_high_nuclear_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,greenfield,national,103,centralized_high,v1.75,h2+1.5,onwind+p0.3,,2050greenfieldnational103.0centralized_highv1.75h2+1.5onwind+p0.3,0.0225
2050_greenfield/national_103.0red_centralized_low_nuclear_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,greenfield,national,103,centralized_low,v1.75,h2+1.5,onwind+p0.3,,2050greenfieldnational103.0centralized_lowv1.75h2+1.5onwind+p0.3,0.0225
2050_greenfield/national_103.0red_centralized_medium_nuclear_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,greenfield,national,103,centralized_medium,v1.75,h2+1.5,onwind+p0.3,,2050greenfieldnational103.0centralized_mediumv1.75h2+1.5onwind+p0.3,0.0225
2050_greenfield/national_103.0red_disabled_nuclear_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,greenfield,national,103,disabled,v1.75,h2+1.5,onwind+p0.3,,2050greenfieldnational103.0disabledv1.75h2+1.5onwind+p0.3,0.0225
2050_greenfield/national_103.0red_SMR_nuclear_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,greenfield,national,103,SMR,v1.75,h2+1.5,onwind+p0.3,,2050greenfieldnational103.0SMRv1.75h2+1.5onwind+p0.3,0.0225
2050_eRisk+2035/national_103.0red_centralized_medium_nuclear_dr0.0185_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,national,103,centralized_medium,v1.75,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0centralized_mediumv1.75h2+1.50.0185onwind+p0.3,0.0185
2050_eRisk+2035/national_103.0red_centralized_medium_nuclear_dr0.0265_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,national,103,centralized_medium,v1.75,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0centralized_mediumv1.75h2+1.50.0265onwind+p0.3,0.0265
2050_eRisk+2035/national_103.0red_centralized_medium_nuclear_dr0.038_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,national,103,centralized_medium,v1.75,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0centralized_mediumv1.75h2+1.50.038onwind+p0.3,0.038
2050_eRisk+2035/national_103.0red_SMR+EVERYWHERE_nuclear_dr0.0225_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,national,103,SMR+EVERYWHERE,v1.75,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0SMR+EVERYWHEREv1.75h2+1.50.0225onwind+p0.3,0.0225
2050_eRisk+2035/national_103.0red_SMR_nuclear_dr0.0185_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,national,103,SMR,v1.75,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0SMRv1.75h2+1.50.0185onwind+p0.3,0.0185
